   row |             user |  size |  22 s |  22 e |  23 s |  23 e
 20468 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62000 | 62000
 20469 |        puzzlebot |  7334 | 61447 | 61447 | 62001 | 62003
  2030 |              Oli |  7334 | 40973 | 40973 | 63794 | 63794
  2031 |          oeeping |  7334 | 40973 | 40973 | 63795 | 63838
  2032 |       Shandrakor |  7334 | 40973 | 40973 | 63839 | 63839
  2033 |          oeeping |  7334 | 40973 | 40973 | 63840 | 63868
 13250 |        puzzlebot |  7334 | 53247 | 53247 | 64091 | 64094
  2034 |       Shandrakor |  7334 | 40973 | 40973 | 63869 | 63871
 13251 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64098 | 64098
  2035 |          oeeping |  7334 | 40973 | 40973 | 63872 | 63872
 13252 |        puzzlebot |  7334 | 53247 | 53247 | 64099 | 64099
  2036 |       Shandrakor |  7334 | 40973 | 40973 | 63874 | 63874
 20470 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62004 | 62004
 13253 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64102 | 64105
  2037 |          oeeping |  7334 | 40973 | 40973 | 63875 | 64591
 20471 |        puzzlebot |  7334 | 61447 | 61447 | 62005 | 62017
 13254 |        puzzlebot |  7334 | 53247 | 53247 | 64109 | 64114
  2038 |            dysan |  7334 | 40973 | 40973 | 64592 | 64592
 20472 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62018 | 62018
  2039 |          oeeping |  7334 | 40973 | 40973 | 64593 | 64680
 13255 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64117 | 64125
 20473 |        puzzlebot |  7334 | 61447 | 61447 | 62019 | 62044
 13256 |        puzzlebot |  7334 | 53247 | 53247 | 64127 | 64129
 20474 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62045 | 62045
 13257 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64130 | 64130
 20475 |        puzzlebot |  7334 | 61447 | 61447 | 62046 | 62066
 13258 |        puzzlebot |  7334 | 53247 | 53247 | 64134 | 64136
 20476 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62067 | 62067
 13259 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64137 | 64139
 20477 |        puzzlebot |  7334 | 61447 | 61447 | 62068 | 62071
 20478 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62072 | 62072
 20479 |        puzzlebot |  7334 | 61447 | 61447 | 62073 | 62073
 12600 |           kimmy- |     0 | 44266 | 44266 | 64495 | 64495
  2040 |        AlphaMole |  7334 | 40973 | 40973 | 64681 | 64681
 12601 |           kimmy- |  7334 | 44266 | 44266 | 64496 | 64509
  2041 |          oeeping |  7334 | 40973 | 40973 | 64682 | 65022
 12602 |           kimmy- |     0 | 44266 | 44266 | 64510 | 64510
  2042 |        puzzlebot |  7334 | 40973 | 40973 | 65023 | 65023
 12603 |           kimmy- |  7334 | 44266 | 44266 | 64511 | 64513
  2043 |          oeeping |  7334 | 40973 | 40973 | 65024 | 65535
 13260 |        puzzlebot |  7334 | 53247 | 53247 | 64141 | 64142
 12604 |           kimmy- |     0 | 44266 | 44266 | 64514 | 64514
  2044 |        Wakling77 |  7334 | 40974 | 40974 | 61440 | 63487
 13261 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64145 | 64145
 12605 |           kimmy- |  7334 | 44266 | 44266 | 64515 | 64520
  2045 |           cta_17 |  7334 | 40974 | 40974 | 63488 | 65022
 13262 |        puzzlebot |  7334 | 53247 | 53247 | 64150 | 64150
 12606 |           kimmy- |     0 | 44266 | 44266 | 64521 | 64521
  2046 |        puzzlebot |  7334 | 40974 | 40974 | 65023 | 65023
 20480 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62074 | 62075
 13263 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64151 | 64151
  2047 |           cta_17 |  7334 | 40974 | 40974 | 65024 | 65535
 20481 |        puzzlebot |  7334 | 61447 | 61447 | 62076 | 62077
 12607 |           kimmy- |  7334 | 44266 | 44266 | 64522 | 64523
  2048 |             Oli2 |  7334 | 40975 | 40975 | 61440 | 61440
 13264 |        puzzlebot |  7334 | 53247 | 53247 | 64152 | 64152
 12608 |           kimmy- |     0 | 44266 | 44266 | 64524 | 64524
  2049 |       tastyabbot |  7334 | 40975 | 40975 | 61446 | 61446
 20482 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62078 | 62078
 13265 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64153 | 64153
 12609 |           kimmy- |  7334 | 44266 | 44266 | 64525 | 64533
 20483 |        puzzlebot |  7334 | 61447 | 61447 | 62079 | 62080
 13266 |        puzzlebot |  7334 | 53247 | 53247 | 64157 | 64157
 20484 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62081 | 62081
 13267 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64158 | 64158
 20485 |        puzzlebot |  7334 | 61447 | 61447 | 62082 | 62157
 13268 |        puzzlebot |  7334 | 53247 | 53247 | 64160 | 64160
 20486 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62158 | 62158
 13269 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64164 | 64164
 20487 |        puzzlebot |  7334 | 61447 | 61447 | 62159 | 62213
 20488 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62214 | 62214
 20489 |        puzzlebot |  7334 | 61447 | 61447 | 62215 | 62221
 12610 |           kimmy- |     0 | 44266 | 44266 | 64534 | 64534
  2050 |             Oli2 |  7334 | 40975 | 40975 | 61450 | 61450
 12611 |           kimmy- |  7334 | 44266 | 44266 | 64535 | 64540
  2051 |       Shandrakor |  7334 | 40975 | 40975 | 61453 | 61453
 12612 |           kimmy- |     0 | 44266 | 44266 | 64541 | 64541
  2052 |             Oli2 |  7334 | 40975 | 40975 | 61458 | 61458
 12613 |           kimmy- |  7334 | 44266 | 44266 | 64542 | 64590
  2053 |       tastyabbot |  7334 | 40975 | 40975 | 61459 | 61459
 13270 |        puzzlebot |  7334 | 53247 | 53247 | 64165 | 64166
 12614 |           kimmy- |     0 | 44266 | 44266 | 64591 | 64591
  2054 |       Shandrakor |  7334 | 40975 | 40975 | 61462 | 61462
 13271 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64167 | 64167
 12615 |           kimmy- |  7334 | 44266 | 44266 | 64592 | 64594
  2055 |             Oli2 |  7334 | 40975 | 40975 | 61466 | 61466
 13272 |        puzzlebot |  7334 | 53247 | 53247 | 64168 | 64175
  2056 |       tastyabbot |  7334 | 40975 | 40975 | 61467 | 61467
 20490 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62222 | 62222
 12616 |           kimmy- |     0 | 44266 | 44266 | 64595 | 64595
  2057 |       Shandrakor |  7334 | 40975 | 40975 | 61468 | 61468
 13273 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64176 | 64176
 12617 |           kimmy- |  7334 | 44266 | 44266 | 64596 | 64603
  2058 |       tastyabbot |  7334 | 40975 | 40975 | 61476 | 61476
 20491 |        puzzlebot |  7334 | 61447 | 61447 | 62223 | 62254
 13274 |        puzzlebot |  7334 | 53247 | 53247 | 64177 | 64177
 12618 |           kimmy- |     0 | 44266 | 44266 | 64604 | 64604
  2059 |             Oli2 |  7334 | 40975 | 40975 | 61477 | 61477
 20492 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62255 | 62255
 13275 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64179 | 64179
 12619 |           kimmy- |  7334 | 44266 | 44266 | 64605 | 64605
 20493 |        puzzlebot |  7334 | 61447 | 61447 | 62256 | 62260
 13276 |        puzzlebot |  7334 | 53247 | 53247 | 64181 | 64187
 20494 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62261 | 62261
 13277 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64189 | 64189
 20495 |        puzzlebot |  7334 | 61447 | 61447 | 62262 | 62286
 13278 |        puzzlebot |  7334 | 53247 | 53247 | 64190 | 64192
 20496 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62287 | 62287
 13279 |    e_vitiello_jr |  7334 | 53247 | 53247 | 64193 | 64193
 20497 |        puzzlebot |  7334 | 61447 | 61447 | 62288 | 62331
 20498 |    e_vitiello_jr |  7334 | 61447 | 61447 | 62332 | 62332
 20499 |        puzzlebot |  7334 | 61447 | 61447 | 62333 | 62344
  1400 |    e_vitiello_jr |  7334 | 36863 | 36863 | 63757 | 63757
  1401 |          PhoeniX |  7334 | 36863 | 36863 | 63760 | 63760
  1402 |    e_vitiello_jr |  7334 | 36863 | 36863 | 63761 | 63761
